,SMILES,PCE
0,O=C(N1C2=CC=C(OCC(CCCCCCCCCC)CCCCCCCC)C=C23)C(C4=CC=C(C5=CC=C(C)S5)S4)=C6C7=C1C3=C(C8=CC=C(C)S8)C(N7C9=C6C=C(OCC(CCCCCCCC)CCCCCCCCCC)C=C9)=O,2.35
1,CC1=CC2=C(C(C3=NSN=C3C4=C5N(CCCCCCCCCCCC)C6=C4SC(C7=CC8=C(C(C=CC(C)=C9)=C9N8C(CCCCCCCC)CCCCCCCC)C=C7)=C6)=C5N2CCCCCCCCCCCC)S1,2.54
2,CC1=C2C(C(N(C(CCCCCCCC)CCCCCCCC)C2=O)=O)=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)S1,4.96
3,CCCCC(CC)SC1=C(F)C=C(C2=C3C=C(C4=CC=C(C5=C6C(=O)C7=C(C(CC)CCCC)SC(C(CC)CCCC)=C7C(=O)C6=C(C6=CC=C[C]S6)S5)S4)SC3=C(C3=CC(F)=C(SC(CC)CCCC)S3)C3=C2SC[C]=C3)S1,13.1
4,CC1=CC(C2(CCCCCC)CCCCCC)=C(C=C1)C3=C2C=C(C(C=C4C(C5=CC=C(C6=CC=C(C7=C(OCCCC)C(OCCCC)=C(C8=CC=C(C)S8)C9=NSN=C97)S6)C=C5C4(CCCCCC)CCCCCC)=C%10)=C%10N%11CC(CC)CCCC)C%11=C3,6.68
5,CC(S1)=CC=C1C2=CC=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCCCCCCCC)=C(OCCCCCCCC)C6=C5C=C(C)S6)C7=C2N=C(C(S8)=CC=C8C9=CC(CCCCCCCC)=CS9)C(C%10=CC=C(S%10)C%11=CC(CCCCCCCC)=CS%11)=N7,1.52
6,CC1=CC=C(C2=C(CCCCCC)N=C(C3=NC(CCCCCC)=C(C4=CC=C(C5=CC6=C(C(OCCCCCCCC)=C(OCCCCCCCC)C7=C6C=C(C)S7)S5)S4)S3)S2)S1,2.81
7,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,7.02
8,CC1=CC([Ge](CC(CCCCCCCCCC)CCCCCCCC)(CC(CCCCCCCC)CCCCCCCCCC)C2=C3SC(C4=CC=C(C5=C(C#N)C(C#N)=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3S1,0.63
9,CC(O1)=CC(C1=C(C#CC2=CC=C(CCCCCCCCCC)C=C2)C3=C4OC(C)=C3)=C4C#CC5=CC=C(CCCCCCCCCC)C=C5,1.19
10,CC(O1)=CC2=C1C(C3=CC=C(CCCCCC)O3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=CC=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)O8)C8=C2C9=CC=C(CCCCCC)O9,2.6
11,[C]C(S1)=C(CC(CCCC)CCCCCC)C=C1C2=CC3=C(C4=NN(CCCCCCCC)N=C42)C=C(C5=CC(CC(CCCC)CCCCCC)=C(C6=CC(F)=C(C7=C(F)C=C([C])S7)S6)S5)C8=NN(CCCCCCCC)N=C83,10.05
12,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C(N(CC(CCCCCC)CCCC)C5=O)=C6C5=C(C7=CC=C(C)[Se]7)N(CC(CCCCCC)CCCC)C6=O)[Se]4)S8)C8=C2C9=CC=C(CC(CC)CCCC)S9,7.2
13,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1,0.7
14,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C3C(SC(C4=CC5=C(C6=CC(C(N(CC(CCCCCCCC)CCCCCC)C7=C8SC(C)=C7)=O)=C8C=C6C(N5CC(CCCCCCCC)CCCCCC)=O)S4)=C3)=C2OCC(CCCC)CC,5.3
15,CC1=CC2=C(C(C3=CC=C(OCC(CCCCCC)CCCC)S3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=C(F)C(F)=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(OCC(CCCC)CCCCCC)S9)S1,4.53
16,CC1=CC(SC2=C3C(C4=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S4)=C5C(C(SC(C6=C(F)C(F)=C(C)C7=NSN=C76)=C8)=C8S5)=C2C9=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S9)=C3S1,5.46
17,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCCC)C4=O)=O)=C(C)S3)O5)C5=C2OCC(CC)CCCC)O1,7.4
