SMILES,PCE
CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(S1)C(S3)=CC(S4)=C3C(C4=C5OCC(CCCCCC)CCCC)=C(OCC(CCCC)CC)C6=C5C7=C(C8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CC)CCCC)=C8S7)S6,0.01
CC1=NC2=C(C=C(OC(/C=C/C3=C(CCCCCCCCCCCC)C(CCCCCCCCCCCC)=C(/C=C/C)S3)=N4)C4=C2)O1,0.01
CC1=C(C(SC(C(CCCCCCC)=O)=C2)=C2C3=O)C3=C(C4=CC(C(CCCCCCCC)(CCCCCCCC)C5=C6C=CC(C)=C5)=C6C=C4)S1,0.03
O=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C2C=C(C)SC2C3=C(C(SC(C(SC(C4=CN=C(C5=NC=C(C)S5)S4)=C6)=C6C(N7CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C8C7=O)=C8S3)C1=O,0.05
CC1=CC=C(C2=C(CCCCCC)N=C(C3=NC(CCCCCC)=C(C4=CC=C(C5=CC(N(CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)S3)S2)S1,0.06
CC1=CC(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C)=C2)=C3C=C1,0.07
CC1=C(C(F)=C(C(OCC(CCCCCC)CCCC)=O)S2)C2=C(S1)C(S3)=CC(S4)=C3C(C4=C5OCC(CCCCCC)CCCC)=C(OCC(CCCC)CCCCCC)C6=C5C7=C(C8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CC)CCCC)=C8S7)S6,0.08
CC1=NC2=C(C=C(N=C(/C=C/C3=C(CCCCCCCCCCCC)C(CCCCCCCCCCCC)=C(/C=C/C)S3)O4)C4=C2)O1,0.08
CC1=CC2=C(C(SC(C)=C3)=C3C(C4=CC=C(CC(CCCCCCCC)CCCCCC)S4)=C2C5=CC=C(CC(CCCCCC)CCCCCCCC)S5)S1,0.1
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(N=CC=N4)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC,0.11
CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1,0.13
CC1=C(C(SC(C(CCCCCCC)=O)=C2)=C2C3=O)C3=C(C4=CC(N(C(CCCCCCCC)CCCCCCCC)C5=C6C=CC(C)=C5)=C6C=C4)S1,0.13
CC1=C([H])C=C(C(S2)=C3C(C(N(CC(CCCCCCCC)CCCCCC)C3=O)=O)=C2C4=CC([H])=C(C5=CC(N(C(CCCCCCCC)CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)S4)S1,0.13
CC1=C(CCCCCCCC)C=C(C(S2)=C3C(C(N(CCCCCCCC)C3=O)=O)=C2C4=CC(CCCCCCCC)=C(C5=CC(N(C(CCCCCCCC)CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)S4)S1,0.14
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=N[Se]N=C43)S5)C5=C2OCCCCCCCCCCCC,0.18
C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=C(CCCCCCCC)C=C(C6=CC=C(C7=CC=C(C8=CC(CCCCCCCC)=C(C)S8)S7)S6)S5)=C3)=C4C=C1,0.2
CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C(CCCCCCCC)C=C(C4=C5C(C(N(CCCCCCCC)C5=O)=O)=C(C6=CC(CCCCCCCC)=C(C)S6)S4)S3)S7)C7=C2OCC(CCCC)CC,0.2
CC1=CC2=C(C(SC(C3=CC=C(N(C4=CC=C(C)C=C4)C5=CC=C(/C=C\C6=CC=C(/C(C#N)=C(C#N)/C#N)S6)C=C5)C=C3)=C7)=C7C2(CC(CC)CCCC)CC(CC)CCCC)S1,0.22
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=C3N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N4)S7)C7=C2OCCCCCCCCCCCC,0.23
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(/C=C/C)S3)C3=C2OCCCCCCCCCCCC,0.25
O=C(N1CC(CCCC)CC)/C(C2=C1C=C(C)S2)=C3C(N(CC(CC)CCCC)C4=C/3SC(C5=CC6=C(C(SC(C)=C7)=C7C6(CC(CCCC)CC)CC(CCCC)CC)S5)=C4)=O,0.27
CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(C(F)(F)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC,0.27
CC1=CC2=C(S1)C(C3=NC=C(CCCCCCCCCC)S3)=C4C(SC(C5=C(C(N(CCCCCCCC)C6=O)=O)C6=C(C)S5)=C4)=C2C7=NC=C(CCCCCCCCCC)S7,0.27
CC1=C(CCCCCC)C(CCCCCC)=C(C2=NN=C(C3=C(CCCCCC)C(CCCCCC)=C(C4=CC=C(C)S4)S3)O2)S1,0.28
O=C1/C(C2=CC=C(C(S3)=C(CCCCCCCCCC)C=C3C(O4)=C(CCCCCCCCCC)C(C4=C5)=CC6=C5C(CCCCCCCCCC)=C(C7=CC(CCCCCCCCCC)=C(C)S7)O6)C=C2N1CC(CCCCCCCC)CCCCCCCCCC)=C8C(N(C[C@@H](CCCCCCCCCC)CCCCCCCC)C9=C/8C=CC(C)=C9)=O,0.3
CC1=CC(CC(CCCC)CC)=C(C2=CC=C(C3=C(CC(CCCC)CC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1,0.3
C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=C(CCCCCCCC)C=C(C6=CC(CCCCCCCC)=C(C)S6)S5)=C3)=C4C=C1,0.3
CC1=CC=C(C2=C(CCCCCC)N=C(C3=NC(CCCCCC)=C(C4=CC=C(C5=CC6=C(C(C=CC(C)=C7)=C7N6C(CCCCCCCC)CCCCCCCC)C=C5)S4)S3)S2)S1,0.3
