SMILES,PCE
CCCCC(CC)CC1(CC(CC)CCCC)C(C=C(/C=C(C#N)\C#N)S2)=C2C3=C1C=C(/C=C(C#N)\C#N)S3,0.01
CCCCCCC(S1)=CC=C1C2=CC=C(S2)C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(CCCCCC)S6)S5)S4)S3,0.01
CCCCCCCC(C1C2=C(C3=C1C=CC=C3)C=CC(C4=CC(C5=CC(C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8C=CC=C7)=C8C=C6)=C9)=C%10C(C%11=C%12C(C%13=CC(C%14=CC(C(CCCCCCCC)(CCCCCCCC)C%15=C%16C=CC=C%15)=C%16C=C%14)=CC%17=C%13C%18=C%19C%20=C(C(C%21=C%19C%17=CC(C%22=CC(C(CCCCCCCC)(CCCCCCCC)C%23=C%24C=CC=C%23)=C%24C=C%22)=C%21)=CC(C%25=CC(C(CCCCCCCC)(CCCCCCCC)C%26=C%27C=CC=C%26)=C%27C=C%25)=C%28)C%28=C9C5=C%20C%10=C%18%12)=CC(C%29=CC(C(CCCCCCCC)(CCCCCCCC)C%30=C%31C=CC=C%30)=C%31C=C%29)=C%11)=C4)=C2)CCCCCCC,0.03
CCCCC(CC)CC1(CC(CC)CCCC)C2C3=CC=C(C4=CC=CC=C4)C=C3C(CC(CC)CCCC)(CC(CC)CCCC)C2C5=C1C=C(C6=CC(C(N7CC(CCCCCCCC)CCCCCCCCCC)=O)=C(C(SC(C8=CC=CC=C8)=C9)=C9C7=O)S6)C=C5,0.04
CCCCCCC(S1)=CC=C1C2=C(C3=CC=C(CCCCCC)S3)SC(C(S4)=CC=C4C5=C(C6=CC=C(C7=CC(C8=CC=C(CCCCCC)S8)=C(C9=CC=C(CCCCCC)S9)S7)S6)C=C(C%10=CC=C(C%11=CC(C%12=CC=C(CCCCCC)S%12)=C(C%13=CC=C(CCCCCC)S%13)S%11)S%10)C(C%14=CC=C(C%15=CC(C%16=CC=C(CCCCCC)S%16)=C(C%17=CC=C(CCCCCC)S%17)S%15)S%14)=C5)=C2,0.05
O=C1C2=CC=CC=C2N(CC(CC)CCCC)C3=C1C=C(N(CC(CC)CCCC)C(C=CC=C4)=C4C5=O)C5=C3,0.05
CCCCC(CC)CN1C(C=CC(/C=C(C#N)\C#N)=C2)=C2C3=C1C=CC(/C=C(C#N)\C#N)=C3,0.05
O=C(C(C=CC=C1)=C1C/2=O)C2=C/C3=CC=C(S3)C(S4)=CC=C4N5C6=C(C=CC=C6)C7=C5C=CC=C7,0.059
CC12C3(C)SC(/C=C/C4=CC=C(N(C5=CC=C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)C=C5)C9=CC=C(/C=C/C%10=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C%10)C=C9)C=C4)=CC3=C(C(F)(F)C(F)(F)C%13(F)F)C%13=C1C=C(/C=C/C%14=CC=C(N(C%15=CC=C(/C=C/C%16=CC=C(N(C%17=CC=CC=C%17)C%18=CC=CC=C%18)C=C%16)C=C%15)C%19=CC=C(/C=C/C%20=CC=C(N(C%21=CC=CC=C%21)C%22=CC=CC=C%22)C=C%20)C=C%19)C=C%14)S2,0.06
O=C(N(CC(CCCCCC)CCCC)C1=CC(C2=CC(C=CC=C3)=C3O2)=CC=C1/4)C4=C/C=C5C(N(CC(CCCCCC)CCCC)C6=C\5C=CC(C7=CC(C=CC=C8)=C8O7)=C6)=O,0.06
