,SMILES,PCE
0,[H]C1=C(C2=CC(F)=C(C3=C([H])C(CC(CC)CCCC)=C(/C=C4/SC(=S)N(CC)C4=O)S3)C=C2F)SC(C2=CC3=C(S2)C(C2=CC=C(C(CC)CCCC)S2)=C2C=C(C4=C(C(CC)CCCC)C([H])=C(C5=CC(F)=C(C6=C([H])C(C(CC)CCCC)=C(/C=C7/SC(=S)N(CC)C7=O)S6)C=C5F)S4)SC2=C3C2=CC=C(C(CC)CCCC)S2)=C1C(CC)CCCC,17.38
1,CCCCCCCCC1=C(C2=CC=C(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)S2)SC(C2=CC3=C(S2)C2=C(S3)C(C3=CC=CC(SCC(CCCCCC)CCCCCCCC)=C3)=C3C4=C(C=C(C5=CC(CCCCCCCC)=C(C6=CC=C(/C=C7/SC(=S)N(CCCCCC)C7=O)S6)S5)S4)SC3=C2C2=CC=CC(SCC(CCCCCC)CCCCCCCC)=C2)=C1,15.9
2,CCCCC(CC)CSC1=C(F)C=C(C2=C3SC4=C(SC(C5=CC(C(CC)CCCC)=C(C6=CC(C(CC)CCCC)=C(C7=CC=C(/C=C8\SC(=S)N(C(CC)CCCC)C8=O)S7)S6)S5)=C4)C3=C(C3=CC(F)=C(SCC(CC)CCCC)S3)C3=C2C=C(C2=CC(C(CC)CCCC)=C(C4=CC(C(CC)CCCC)=C(C5=CC=C(/C=C6\SC(=S)N(C(CC)CCCC)C6=O)S5)S4)S2)S3)S1,15.1
3,CCCCC(CC)CSC1=CC=C(C2=C3C=C(C4=CC(C(CC)CCCC)=C(C5=CC(C(CC)CCCC)=C(C6=CC=C(/C=C7\SC(=S)N(CCCC)C7=O)S6)S5)S4)SC3=C(C3=CC=C(SCC(CC)CCCC)C=C3)C3=C2SC(C2=CC(C(CC)CCCC)=C(C4=CC=C(C5=CC=C(/C=C6\SC(=S)N(CCCC)C6=O)S5)S4)S2)=C3)C=C1,14.9
4,CCCCCCC(CCCC)CC1=CC=C(C2=C3SC4=C(SC(C5=CC(CC(CC)CCCC)=C(C6=CC=C(/C=C7/SC(=S)N(CCCCCC)C7=O)S6)S5)=C4)C3=C(C3=CC=C(CC(CCCC)CCCCCC)S3)C3=C2C2=C(C=C(C4=CC(CC(CC)CCCC)=C(C5=CC=C(/C=C6/SC(=S)N(CCCCCC)C6=O)S5)S4)S2)S3)S1,14.34
5,CCCCCCCCC1=C(C2=CC=C(C3=C(CCCCCCCC)C=C(C4=CC5=C(O4)C(C4=CC=C(CC(CC)CCCC)S4)=C4C=C(C6=CC(CCCCCCCC)=C(C7=CC=C(C8=C(CCCCCCCC)C=C(/C=C9\SC(=S)N(CC)C9=O)S8)S7)S6)SC4=C5C4=CC=C(CC(CC)CCCC)S4)S3)S2)SC(/C=C2\SC(=S)N(CC)C2=O)=C1,14.03
6,CCCCCCC1=C(C(CC)CCCC)SC(C2=C3C=C(C4=C(CC(C)C)C=C(C5=NC6=C(N=C(C7=CC(CC(CC)CCCC)=C(/C=C8\SC(=S)N(CCCC)C8=O)S7)S6)S5)S4)SC3=C(C3=CC(CCCCCC)=C(C(CC)CCCC)S3)C3=C2SC(C2=C(CC(CC)CCCC)C=C(C4=NC5=C(N=C(C6=CC(CC(CC)CCCCC)=C(/C=C7\SC(=S)N(CCC)C7=O)S6)S5)S4)S2)=C3)=C1,13.9
7,CCCCC(CC)C1=C(/C=C2\SC(=S)N(CCCC)C2=O)SC(C2=NC3=C(N=C(C4=CC(C(CC)CCCC)=C(C5=CC6=C(S5)C(C5=CC(C7CCCCC7)=C(C(CC)CCCC)S5)=C5C=C(C7=C(C(CC)CCCC)C=C(C8=NC9=C(N=C(C%10=CC(C(CC)CCCC)=C(/C=C%11\SC(=S)N(CCCC)C%11=O)S%10)S9)S8)S7)SC5=C6C5=CC(C6CCCCC6)=C(C(CC)CCCC)S5)S4)S3)S2)=C1,13.9
8,CCCCC(CC)COC(=O)/C(C#N)=C\C1=CC=C(C2=C(C(CC)CCCC)C=C(C3=C(C(CC)CCCC)C=C(C4=CC5=C(S4)C(C4=CC(Cl)=C(CC(CC)CCCC)S4)=C4C=C(C6=CC(C(CC)CCCC)=C(C7=CC(C(CC)CCCC)=C(C8=CC=C(/C=C(/C#N)C(=O)OCC(CC)CCCC)S8)S7)S6)SC4=C5C4=CC(Cl)=C(CC(CC)CCCC)S4)S3)S2)S1,13.9
9,CCCCCCC1=C(C2=CC(CCCC)=C(C3=CC=C(/C=C/SC(=S)NCCCCC)S3)S2)SC(C2=CC3=C(S2)C(C2=CC(Cl)=C(CC(CC)CCCC)S2)=C2C=C(C4=CC(CCCC)=C(C5=CC(CCCCCC)=C(C6=CC=C(/C=C7/SC(=S)N(CCCCCC)C7=O)S6)S5)S4)SC2=C3C2=CC(Cl)=C(CC(CC)CCC)S2)=C1,13.61
